target_contrast_gene_name,naive_suppression,tolerance_suppression,stim_de_genes,stim_downstream,n_cells_target,rest_de_genes,rest_downstream,is_core_essential,is_iei,z_l2,rank
IGF1R,0.95082337750518,0.7694368679854576,3,2,531.0,1.0,0.0,False,False,101.43392744349518,236
CASC3,0.950182283556678,0.8613791350751584,1028,1027,290.0,1239.0,1238.0,False,False,178.61646630253506,237
PRRC2A,0.9501367635182028,1.34877778377766,85,84,369.0,32.0,31.0,False,False,117.4630814664453,238
SPIRE1,0.9501130863205536,1.0282526999092576,1,0,415.0,0.0,0.0,False,False,97.52528070432598,239
ZNF717,0.9455879060694642,0.6917280664210086,1,0,211.0,1.0,1.0,False,False,101.43093447698308,240
FCMR,0.9437789757805632,0.5775917977035478,20,19,214.0,15.0,14.0,False,False,109.40548178079966,241
DNASE1L1,0.9427305429233096,0.5755770792229545,4,3,609.0,1.0,0.0,False,False,105.83980847397515,242
MUS81,0.9400702579923208,-0.1463904153574256,2,1,96.0,3.0,2.0,False,False,100.6160964503492,243
SEL1L,0.9383361928706172,0.9960105566683352,279,278,92.0,1497.0,1496.0,False,False,132.9488922718427,244
EHBP1,0.9372910727189954,0.8947219406044196,15,14,254.0,4.0,3.0,False,False,115.96253095134452,245
DNAJA2,0.9368783986520473,1.6980647050380648,2,1,471.0,2.0,1.0,False,False,106.0229971142825,246
COX17,0.9353360764258828,1.152126434727612,98,97,444.0,1.0,0.0,False,False,122.29320451788944,247
GPATCH8,0.9330893177638754,1.3582647770950886,221,220,513.0,58.0,57.0,False,False,130.73681299799463,248
MPC1,0.9326775518197684,1.6475669437599427,4,3,706.0,2.0,1.0,False,False,103.5706198627002,249
ZNF219,0.9325392976489824,1.0864436927787622,57,56,171.0,2.0,2.0,False,False,116.19797458736524,250
MAP2K1,0.9322028522484904,0.6824468518941529,12,11,349.0,5.0,4.0,False,False,104.40140861213068,251
E2F7,0.931874282258284,1.0002601366115924,2,1,404.0,6.0,5.0,False,False,97.08861592561531,252
MALT1,0.9310979080400684,0.5418428744455799,1412,1411,325.0,3.0,2.0,False,True,165.72194008679693,253
ZNF426,0.93075295104612,0.3282218918129573,11,10,1269.0,4.0,3.0,False,False,110.24614764437216,254
PCYT1A,0.9300249269274716,1.1170548615620186,2,1,205.0,1.0,0.0,False,False,101.62659555651004,255
