id,num.Resting_Teff,neg|score.Resting_Teff,neg|p-value.Resting_Teff,neg|fdr.Resting_Teff,neg|rank.Resting_Teff,neg|goodsgrna.Resting_Teff,neg|lfc.Resting_Teff,pos|score.Resting_Teff,pos|p-value.Resting_Teff,pos|fdr.Resting_Teff,pos|rank.Resting_Teff,pos|goodsgrna.Resting_Teff,pos|lfc.Resting_Teff,num.Stimulated_Teff,neg|score.Stimulated_Teff,neg|p-value.Stimulated_Teff,neg|fdr.Stimulated_Teff,neg|rank.Stimulated_Teff,neg|goodsgrna.Stimulated_Teff,neg|lfc.Stimulated_Teff,pos|score.Stimulated_Teff,pos|p-value.Stimulated_Teff,pos|fdr.Stimulated_Teff,pos|rank.Stimulated_Teff,pos|goodsgrna.Stimulated_Teff,pos|lfc.Stimulated_Teff,num.Resting_Treg,neg|score.Resting_Treg,neg|p-value.Resting_Treg,neg|fdr.Resting_Treg,neg|rank.Resting_Treg,neg|goodsgrna.Resting_Treg,neg|lfc.Resting_Treg,pos|score.Resting_Treg,pos|p-value.Resting_Treg,pos|fdr.Resting_Treg,pos|rank.Resting_Treg,pos|goodsgrna.Resting_Treg,pos|lfc.Resting_Treg
FOXD4L3,4,0.26641,0.39139,0.999996,434,2,-0.12714,0.56136,0.59139,0.999996,700,1,-0.12714,4,0.0046475,0.016698,0.520365,43,4,-0.52592,0.99535,0.9956,0.999996,1326,0,-0.52592,4,0.011393,0.037079,0.439422,114,4,-0.34625,0.98861,0.98859,0.999996,1278,0,-0.34625
ZNF782,4,0.49841,0.54654,0.999996,626,1,-0.010405,0.56255,0.59214,0.999996,701,1,-0.010405,4,0.93415,0.9343,0.999996,1218,0,0.40255,0.0056847,0.020238,0.546832,50,3,0.40255,4,0.88415,0.88405,0.999996,1076,0,0.19358,0.012128,0.039263,0.498982,106,3,0.19358
ZNF735,4,0.54642,0.57864,0.999996,672,1,0.052251,0.56295,0.59238,0.999996,702,1,0.052251,4,0.30131,0.43343,0.999996,544,1,0.34955,0.010655,0.032279,0.726815,60,3,0.34955,4,0.374,0.51729,0.999996,588,1,0.15346,0.051172,0.12477,0.936496,180,3,0.15346
HOXA10,4,0.54066,0.57472,0.999996,666,1,0.055917,0.56335,0.59272,0.999996,703,1,0.055917,4,0.43279,0.50517,0.999996,644,1,0.05035,0.18976,0.30229,0.999996,345,2,0.05035,4,0.85743,0.85782,0.999996,1035,0,0.082616,0.24922,0.40015,0.999996,467,2,0.082616
FLOT1,4,0.78702,0.78888,0.999996,968,0,0.043934,0.56414,0.59325,0.999996,704,1,0.043934,4,0.41962,0.49721,0.999996,632,1,0.086898,0.11746,0.21485,0.999996,233,2,0.086898,4,0.61087,0.66849,0.999996,752,1,0.048899,0.18749,0.34044,0.999996,402,2,0.048899
ZNF189,4,0.47872,0.5345,0.999996,608,1,-5.01E-04,0.56573,0.59429,0.999996,705,1,-5.01E-04,4,0.90736,0.90736,0.999996,1178,0,0.099133,0.21736,0.33453,0.999996,386,2,0.099133,4,0.56208,0.64389,0.999996,722,1,0.025439,0.17539,0.32827,0.999996,389,2,0.025439
HIF3A,4,0.88034,0.88151,0.999996,1117,0,0.032936,0.56928,0.59697,0.999996,706,1,0.032936,4,0.061204,0.13942,0.999996,180,2,-0.21028,0.8254,0.82766,0.999996,1064,0,-0.21028,4,0.0082481,0.027479,0.378814,98,3,-0.28964,0.98385,0.98387,0.999996,1264,0,-0.28964
RREB1,4,0.76361,0.76449,0.999996,934,0,-0.016613,0.57046,0.59776,0.999996,707,1,-0.016613,4,0.60213,0.61867,0.999996,772,1,-0.021783,0.78562,0.78731,0.999996,1017,0,-0.021783,4,0.043109,0.10641,0.826192,174,3,-0.17932,0.60832,0.68344,0.999996,802,1,-0.17932
NR2F1,4,0.26559,0.39047,0.999996,433,1,-0.076097,0.57164,0.59858,0.999996,708,1,-0.076097,4,0.69982,0.70097,0.999996,891,1,0.0079394,0.11897,0.21667,0.999996,235,1,0.0079394,4,0.81616,0.8168,0.999996,958,1,0.10101,0.10983,0.23248,0.999996,287,3,0.10101
BBX,4,0.15148,0.2527,0.999996,288,2,-0.051462,0.57242,0.59911,0.999996,709,1,-0.051462,4,0.79682,0.79869,0.999996,1033,0,-0.0095321,0.85473,0.85619,0.999996,1106,0,-0.0095321,4,0.97535,0.97529,0.999996,1241,0,0.12452,0.078566,0.17633,0.999996,231,3,0.12452
