gene_name,safe,efficacy,window_rank,ot_genetic_supported,ot_genetic_max,ot_genetic_n_diseases,tractable,is_iei,freimer_hit,freimer_min_fdr,freimer_dir,freimer_marker,arce_hit,arce_min_fdr,arce_dir,any_hit
PDP2,False,0.1965284413494546,1505,False,,,,False,,,,,,,,
RFTN1,False,0.1960625114698037,1506,False,,,,False,,,,,,,,
TMEM120A,False,0.1958803379711324,1507,False,,,,False,,,,,,,,
OAS2,False,1.0211179505386982,1508,False,,,,True,,,,,,,,
ENTPD4,False,0.1956872387714731,1509,False,,,,False,,,,,,,,
DNAJC7,False,0.4727872132869447,1510,False,,,,False,,,,,,,,
ACCS,False,0.3154532128740852,1511,False,,,,False,,,,,,,,
RAB1B,False,0.2079396806884613,1512,False,,,,False,,,,,,,,
IL21R,False,0.1949969254048659,1513,False,,,,True,,,,,,,,
ZNF121,False,0.1948423412311963,1514,False,,,,False,False,0.999996,pos_regulator,IL2RA,False,0.999996,loss_lowers_IL2RA,0.0
NPEPPS,False,0.805591302237433,1515,False,,,,False,,,,,,,,
MAFK,False,0.5140948528077587,1516,False,,,,False,False,0.916333,neg_regulator,CTLA4,False,0.999996,loss_lowers_IL2RA,0.0
ARRDC1,False,0.1947035162408717,1517,False,,,,False,,,,,,,,
RTKN2,False,0.1946360516167581,1518,False,,,,False,,,,,,,,
CSTB,False,0.1944542078931287,1519,False,,,,False,,,,,,,,
PAPOLG,False,0.5588806547195131,1520,False,,,,False,,,,,,,,
RNF34,False,0.1943155927498183,1521,False,,,,False,,,,,,,,
UBAP2,False,0.2402918075093277,1522,False,,,,False,,,,,,,,
TMEM106C,False,0.193699780713585,1523,False,,,,False,,,,,,,,
BLOC1S5,False,0.637664780243294,1524,False,,,,False,,,,,,,,
CLOCK,False,0.1932051404094428,1525,False,,,,False,False,0.323575,pos_regulator,IL2RA,False,0.480316,loss_lowers_IL2RA,0.0
C3orf38,False,0.796241488893351,1526,False,,,,False,,,,,,,,
TSPYL2,False,0.3014243369916438,1527,False,,,,False,,,,,,,,
C11orf24,False,0.2004547397866125,1528,False,,,,False,,,,,,,,
ZNF562,False,0.703511790042928,1529,False,,,,False,False,0.352122,neg_regulator,CTLA4,False,0.999996,loss_lowers_IL2RA,0.0
SPINT2,False,0.1920939607997849,1530,False,,,,False,,,,,,,,
TNKS,False,0.1920653430790877,1531,False,,,,False,,,,,,,,
TOR4A,False,0.1920321953968722,1532,False,,,,False,,,,,,,,
TXNDC11,False,0.2162412602468265,1533,False,,,,False,,,,,,,,
GLTP,False,0.1918029492701944,1534,False,,,,False,,,,,,,,
DCTD,False,0.5281699795254695,1535,False,,,,False,,,,,,,,
ZFAT,False,0.1916076246304662,1536,False,,,,False,,,,,,,,
TMEM9B,False,0.7545202727052968,1537,False,,,,False,,,,,,,,
CILK1,False,0.1913301289848916,1538,False,,,,False,,,,,,,,
AKR1A1,False,0.2503207847617585,1539,False,,,,False,,,,,,,,
FAM184A,False,0.1909565168495177,1540,False,,,,False,,,,,,,,
ATP6V0A1,False,0.1905869549678234,1541,False,,,,False,,,,,,,,
PHLDA2,False,0.1904064349171582,1542,False,,,,False,,,,,,,,
PPP1R3B,False,0.1903521606837794,1543,False,,,,False,,,,,,,,
ADCK2,False,0.1899422709681363,1544,False,,,,False,,,,,,,,
AIM2,False,0.5674873585713893,1545,False,,,,False,,,,,,,,
PLXNB2,False,0.1897464701433975,1546,False,,,,False,,,,,,,,
ZNF771,False,0.1894114577314075,1547,False,,,,False,False,0.999996,pos_regulator,IL2,False,0.999996,loss_lowers_IL2RA,0.0
C1R,False,0.836985636340792,1548,False,,,,True,,,,,,,,
KLC2,False,0.2328467777291065,1549,False,,,,False,,,,,,,,
ZNF225,False,0.1886054731561541,1550,False,,,,False,False,0.999996,pos_regulator,IL2,False,0.999996,loss_lowers_IL2RA,0.0
GUF1,False,0.2170562807916893,1551,False,,,,False,,,,,,,,
H2BC3,False,0.4240471196615432,1552,False,,,,False,,,,,,,,
CMIP,False,0.1883482332395919,1553,False,,,,False,,,,,,,,
MAP2K4,False,0.1880933871670167,1554,False,,,,False,,,,,,,,
LAT2,False,0.1879911875709612,1555,False,,,,False,,,,,,,,
PITPNA,False,0.2897874803723143,1556,False,,,,False,,,,,,,,
NSUN6,False,0.1878787780061266,1557,False,,,,False,,,,,,,,
ZNF675,False,0.6367380473569584,1558,False,,,,False,False,0.957324,pos_regulator,IL2,False,0.999996,loss_lowers_IL2RA,0.0
GADD45A,False,0.5454209513536218,1559,False,,,,False,,,,,,,,
SLC30A7,False,0.553994034219438,1560,False,,,,False,,,,,,,,
TRAF3IP2,False,0.1867464753158209,1561,False,,,,True,,,,,,,,
MIA2,True,1.2474053793604547,1562,False,0.0,,True,False,,,,,,,,
COMMD4,True,0.3329656957321432,1563,False,0.0,,True,False,,,,,,,,
HPDL,False,0.272562225178286,1564,False,,,,False,,,,,,,,
NAPRT,False,0.2271543210879791,1565,False,,,,False,,,,,,,,
NELFCD,False,0.1851961225991762,1566,False,,,,False,,,,,,,,
SESTD1,False,0.1851317184494766,1567,False,,,,False,,,,,,,,
CDYL2,False,0.184954566449907,1568,False,,,,False,,,,,,,,
BCAP31,False,0.3880398815126549,1569,False,,,,False,,,,,,,,
ZNF330,False,0.3671335729256428,1570,False,,,,False,,,,,,,,
SPOCK2,False,0.5235339567848796,1571,False,,,,False,,,,,,,,
COPRS,False,0.1845347131906474,1572,False,,,,False,,,,,,,,
IBTK,False,0.2519447791659418,1573,False,,,,False,,,,,,,,
WDR26,False,0.2043078700420015,1574,False,,,,False,,,,,,,,
ZNF34,False,0.1838389015134962,1575,False,,,,False,False,0.901579,neg_regulator,IL2,False,0.913134,loss_lowers_IL2RA,0.0
ZMYND8,False,0.7077647179524738,1576,False,,,,False,False,0.187294,pos_regulator,IL2,True,0.016375,loss_lowers_IL2RA,1.0
UBE2D1,False,0.6452285964211404,1577,False,,,,False,,,,,,,,
HADH,False,0.7384717772798267,1578,False,,,,False,,,,,,,,
LY6E,False,0.3996450862375388,1579,False,,,,False,,,,,,,,
GEMIN7,False,1.1840736136732215,1580,False,,,,False,,,,,,,,
SYF2,False,0.263169154243107,1581,False,,,,False,,,,,,,,
SKIC8,True,0.1825168870958853,1582,False,0.0,,True,False,,,,,,,,
NTNG2,False,0.1824492352687073,1583,False,,,,False,,,,,,,,
KDELR2,False,0.1823237534522627,1584,False,,,,False,,,,,,,,
ZNF821,False,1.0586094327286817,1585,False,,,,False,False,0.863699,pos_regulator,IL2,False,0.999996,loss_lowers_IL2RA,0.0
SLC36A4,False,0.1819712098056905,1586,False,,,,False,,,,,,,,
CD44,False,0.1818627511048868,1587,False,,,,False,False,0.24238,neg_regulator,IL2RA,False,0.999996,loss_lowers_IL2RA,0.0
CYCS,False,0.2940479732757058,1588,False,,,,False,,,,,,,,
