gene_name,efficacy,module_suppression,z_induction_matched,z_expression_matched_recovery_control,z_effector_positive_control,in_naive_top100,is_il2_axis
UBAC2,-0.008198504961910658,0.14240886436568367,0.8020757614643815,1.288095378545587,-0.8852967546545742,False,False
UBAP2,0.2790165498336137,0.12562375826140246,1.3005710946570797,1.8574347261824966,8.461920276626305,False,False
UBASH3A,0.11619695206172764,-0.06697430047723982,-0.5519574783511761,-1.2262254028086024,3.4293281740200734,False,False
UBASH3B,-0.16817875450942665,-0.43515462676684064,-5.052565816541665,-9.502781884142426,-3.088079538751898,False,False
UBB,0.3624201109396381,0.43962271804694963,5.062991295009042,5.740244648591671,8.881888929831927,False,False
UBC,0.21691302346721386,0.5841278831164042,6.5730784936027185,5.964088349076939,4.976023536596295,False,False
UBE2A,0.394994720176328,0.3787426244881418,3.8133693943769775,3.123984220665378,7.338076144909128,False,False
UBE2B,0.397680146030325,0.17171317338943481,1.0947423587096754,1.8611649318571477,9.107984760149597,False,False
UBE2C,0.4580730328525533,-0.047223044766320124,-0.5294477171478857,-0.6492443397410573,6.920669334851584,False,False
UBE2D1,0.26588932453887537,0.09854970582657391,-0.010270953377854705,1.0820047544294065,4.139548777092389,False,False
UBE2D2,0.31412852060748264,0.03112122623456849,0.4024121640669969,0.14936446991163974,7.630086985590276,False,False
UBE2D3,0.08994785466347821,-0.3182635009288788,-3.5511968577027884,-4.833499748667785,2.075567325658025,False,False
UBE2D4,0.21446081713656895,0.19896418104569116,2.159172520136357,3.0872897960013193,5.045454251126403,False,False
UBE2E1,0.21424955467227846,-0.0386606864631176,0.25492777888519863,-0.16919769954935793,6.545774425345324,False,False
UBE2E3,0.3398046849761158,0.5214520893577073,4.688951212413572,8.107517415610614,8.355185097165986,False,False
UBE2F,-0.11909509854740463,-0.4135169991188579,-3.1434605855502085,-3.762900197742085,-2.2043239034847883,False,False
UBE2G1,0.21533816735609435,0.3588844212806887,2.5497450099644476,6.298803434036971,3.617495914581737,False,False
UBE2G2,-0.017134380876086652,0.04127915534708235,0.6825580391450863,0.5607593797462095,0.0961869718194898,False,False
UBE2H,0.2780631936475402,0.5170914249287711,2.9747795279597455,4.679203619046948,4.344348802334446,False,False
UBE2I,0.3567692388314754,0.7040280832184685,3.9686943849157608,4.1695638521738445,4.236057083803717,False,False
UBE2J1,0.4188037262938451,0.4655604643954171,3.89611198090706,6.36924425832315,7.412805510312762,False,False
UBE2J2,0.11223862669430673,0.44388433256083065,5.203405393605436,6.45388320366792,3.0851661831828476,False,False
UBE2K,0.43366529676131904,0.3681107003034817,5.209961204362188,5.4009369070341755,10.306895959837831,False,False
UBE2L3,-0.027025450544897467,0.01875742773214976,1.2360655123325168,0.7140255287218763,1.2810688700498543,False,False
UBE2L6,0.06871069822227582,0.06193784044848548,0.502380251067506,0.7132547243629371,1.4384342561783263,False,False
UBE2M,0.08693838474573568,-0.09766438137739897,-1.6933967700305954,-1.6966826711090883,1.7741774980088847,False,False
UBE2N,0.3671682329440955,0.11886732197470135,0.050680835861021664,0.09599106321921799,4.399356830041756,False,False
UBE2O,0.1839869729737984,-0.10552828489906257,-1.6574927109350024,-1.9318121541363735,6.673733744369474,False,False
UBE2Q1,0.1406978245577193,-0.03521417839349144,-0.07414225227450677,-0.4582380270668363,5.15356573334033,False,False
UBE2Q2,0.053645556239644065,0.38050314714200795,4.893409442485593,6.071197787219697,2.0078393210124834,False,False
UBE2R2,0.4498822456516791,0.24830928962263796,1.2971857509879454,2.092834421291117,6.485538772138688,False,False
