Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,group
prerank,Estrogen Response Late,-0.2487919272706629,-1.2073749723791085,0.06341463414634146,0.16544085835424419,0.749,12/119,2.79%,FABP5;PRSS23;IL17RB;SLC7A5;SGK1;DNAJC12;CDC6;SNX10;TSPAN13;SLC16A1;SIAH2;MYOF,top_efficacy
prerank,Estrogen Response Early,-0.24433834476074717,-1.171076925870812,0.11442786069651742,0.20099916660215045,0.818,13/116,6.91%,PMAIP1;PRSS23;IL17RB;MYC;SLC7A5;FASN;SLC16A1;SIAH2;MYOF;STC2;DHRS2;DYNLT3;CD44,top_efficacy
prerank,Adipogenesis,-0.2362557462174713,-1.1654695737996588,0.13366336633663367,0.19956736177208617,0.828,23/153,9.54%,SLC1A5;IMMT;SDHB;COQ3;NDUFAB1;PPP1R15B;BCL2L13;UCP2;DLAT;PREB;DNAJB9;CHUK;DLD;GHITM;ACLY;ACADM;CMPK1;ATP1B3;PEMT;UQCRQ;NDUFS3;MDH2;ARL4A,top_efficacy
prerank,Spermatogenesis,-0.2638801333315301,-1.1081186361539135,0.22924901185770752,0.2765917996514172,0.916,22/64,22.17%,PSMG1;STRBP;IDE;AGFG1;AURKA;VDAC3;PARP2;DBF4;ZC3H14;ARL4A;RFC4;CSNK2A2;EZH2;NEFH;CDKN3;CLPB;HSPA4L;BRAF;CDK1;KIF2C;TALDO1;CCNA1,top_efficacy
prerank,heme Metabolism,0.25086894860299364,1.0581183943177215,0.34980988593155893,0.6382558631977748,1.0,34/147,18.57%,NARF;ACP5;MGST3;BSG;BNIP3L;TENT5C;ADD1;LAMP2;CTSB;TNRC6B;SEC14L1;ARL2BP;KLF3;EZH1;OSBP2;MARCHF8;DCAF11;OPTN;AQP3;E2F2;EPB41;CCND3;SLC10A3;TOP1;ALAD;VEZF1;YPEL5;CAST;LRP10;USP15;LPIN2;NR3C1;CAT;FN3K,top_efficacy
prerank,Hypoxia,-0.21557886849244906,-1.0391149938997986,0.37799043062200954,0.39598197078512043,0.978,44/133,19.65%,IER3;VEGFA;CITED2;SIAH2;FAM162A;STC2;SAP30;SDC4;PPP1R15A;NOCT;ATF3;HK2;DDIT4;RBPJ;ENO1;TPD52;DDIT3;P4HA1;HDLBP;HSPA5;PGM2;JMJD6;PGK1;HMOX1;MAFF;NEDD4L;AK4;P4HA2;JUN;TES;VLDLR;ANKZF1;PFKP;TNFAIP3;ERRFI1;ANXA2;PDK1;PIM1;ETS1;MIF;CAVIN3;KDELR3;SLC2A1;HK1,top_efficacy
prerank,UV Response Dn,0.2576215794862418,1.0256687325068576,0.4203084832904884,0.6941217316988489,1.0,31/94,27.55%,ATP2B4;SMAD3;PIK3CD;DBP;GRK5;IGF1R;AKT3;PRKAR2B;ATRX;DYRK1A;NIPBL;WDR37;ANXA4;NR3C1;FBLN5;ARHGEF9;PEX14;MGLL;LDLR;CDKN1B;SLC22A18;IRS1;PIAS3;DLG1;SYNE1;DMAC2L;SCAF8;CDK13;TENT4A;ATXN1;CDON,top_efficacy
prerank,Cholesterol Homeostasis,0.2737840241085284,1.0197337244210065,0.4332874828060523,0.6685161445397003,1.0,13/63,12.23%,CLU;PNRC1;TP53INP1;PLSCR1;ANTXR2;SREBF2;ETHE1;ABCA2;FBXO6;ECH1;NFIL3;LSS;CXCL16,top_efficacy
prerank,Bile Acid Metabolism,0.26264179199374366,0.9916914726430976,0.4866385372714487,0.7085279428653121,1.0,31/69,35.26%,FDXR;ABCD2;IDH2;PAOX;GSTK1;ABCA2;HSD3B7;OPTN;SLC35B2;MLYCD;LCK;ALDH8A1;NPC1;EFHC1;CAT;SULT1B1;SLC22A18;NUDT12;SCP2;LONP2;PEX6;ATXN1;APOA1;CYP7B1;PEX16;ABCA3;ACSL5;GNMT;PEX13;ABCA5;HSD17B6,top_efficacy
prerank,Reactive Oxygen Species Pathway,-0.24404899700655774,-0.9644358008686201,0.5,0.5564555266712062,0.996,12/44,16.61%,TXNRD1;PRDX1;GCLM;GLRX2;GSR;PRNP;GCLC;SELENOS;ERCC2;SOD1;PFKP;NDUFS2,top_efficacy
