gene_name,efficacy,rest_de_genes,stim_de_genes,freimer_il2_lowers,freimer_il2_lfc
STAT2,0.0761020959898726,43.0,21,False,0.1465
ZFP41,0.2621499008180793,1.0,1,False,-0.066285
CCL4,0.7662579374395818,0.0,1,False,0.042089
LCORL,0.0725019975483353,6.0,7,False,-0.16317
KLF10,0.071867829764457,32.0,9,False,-0.069081
HOMEZ,0.0708681737179321,2.0,2,False,0.15568
MEF2A,0.0694817426473688,4.0,7,False,0.01136
ATF7,0.065853520922131,3.0,3,False,0.1674
ZNF302,0.1084104118536502,1.0,2,False,0.072952
ZNF792,0.3359610097987273,3.0,1,False,-0.11468
KLF7,0.6749455279709914,7.0,5,False,-0.0084437
CIC,0.1326756405257157,4.0,3,True,0.42227
ZNF785,0.6053396189293337,10.0,248,False,0.064038
ZNF235,0.5292998224749735,1.0,1,False,-0.04345
GFI1,0.0542089834262742,15.0,1,False,0.3316
ZNF524,0.2794123563194676,1.0,1,False,0.11169
TFCP2,0.4065224207574536,1.0,1,False,-0.10298
ZNF410,0.0509833482573882,34.0,15,False,-0.15922
RFX5,0.0490290074007099,17.0,14,False,0.24898
ZNF684,0.2081951876118682,4.0,3,False,-0.096149
IL2RA,0.4387879600031154,10.0,25,True,0.56549
IFNGR1,0.2248212707788854,1.0,3,False,-0.06056
ZBTB7B,0.2611170590964576,2.0,2,True,0.59172
HMG20B,0.0391747998497596,2.0,5,False,0.13026
ZNF669,0.0357009415107202,1.0,2,False,-0.093466
JDP2,0.0341025721062582,5.0,7,False,-0.078456
JUND,0.0340558208971375,38.0,14,False,0.0094897
ZNF627,0.0290587190117019,54.0,1,False,0.087991
HIF1A,0.6571458285498523,2.0,129,False,0.13433
IL26,0.0246280973044782,2.0,3,False,-0.10445
ZHX1,0.3452061266749653,3.0,3,False,0.018217
ZNF197,0.1854548180253271,1.0,3,False,-0.024094
RBAK,0.010578219137503,6.0,3,False,-0.028108
ZNF653,0.0055476461865997,121.0,2,False,-0.091211
NSD1,2.3642663658029366,1767.0,2175,False,0.20493
ZNF573,0.7461146195290118,0.0,2,False,0.038178
ZNF652,0.5433547316240475,28.0,5,False,-0.11704
ZNF333,0.0003089768340846,0.0,2,False,-0.11098
NFE2L2,-0.0045693858807504,25.0,7,False,-0.13971
PRDM15,0.3016434719586217,28.0,41,False,0.15484
NCR3,-0.0082718885460025,4.0,3,False,-0.046218
ZNF202,-0.0090445232862568,7.0,12,False,0.008074
IRF2,0.3086588897780742,87.0,66,True,0.9602
ZNF25,0.122883965804117,3.0,3,False,0.15978
ELK1,0.258720474523896,8.0,6,False,0.041823
FOXP4,0.2162883131783716,4.0,3,False,0.04963
ZNF682,-0.0301768750328735,2.0,2,False,-0.19456
ZFP69B,0.2988248449643826,2.0,4,False,-0.015798
E2F1,-0.0358940296743254,198.0,390,False,-0.05794
AIF1,-0.0373497557513211,1.0,1,False,-0.12125
ZNF304,0.2545196580447896,814.0,1,False,-0.070041
GTF2I,-0.0420902503048761,15.0,16,False,-0.0019343
CXCR3,0.0663148980182182,1.0,2,False,0.01079
SP4,0.3228052056150529,12.0,5,False,-0.12245
ZNF548,-0.0468897179327442,1.0,1,False,-0.049297
ZNF445,0.5287861637099165,2.0,1,False,-0.06879
ZBTB37,0.0031778004604753,2.0,1,False,0.05427
ZEB1,-0.0086800773286881,253.0,416,True,0.43503
MAF,0.7040954457930018,10.0,138,True,0.68584
ZNF85,-0.062488989960074,1.0,1,False,0.01228
ZNF213,-0.0629972516290091,3.0,1,False,-0.073261
ZNF76,-0.0664638047567606,7.0,45,False,-0.10498
ZNF263,-0.0678902778407847,5.0,7,False,-0.014136
RXRB,0.6836368492226536,308.0,422,False,-0.022784
GTF3A,0.0972610821002234,3.0,1,False,0.36524
ZNF32,0.6018860395368375,1.0,4,False,0.027381
ZBTB22,-0.0714626717708988,2.0,2,False,0.038505
ZNF770,-0.0744295192765155,4.0,2,False,-0.046902
ZNF714,-0.0749458084830765,3.0,2,False,-0.0033993
ZNF619,0.0668614756187745,3.0,8,False,-0.1465
IL12RB1,0.1188814577552993,15.0,2,False,0.20546
