gene_name,eff_mean_lfc,eff_mean_z,n_module_down,tol_mean_lfc,n_tolerance_down,stim_de_genes,n_cells_target,rest_de_genes,selectivity,efficacy,tolerance_loss,rest_cells,rest_cells_ratio,log2_stim_over_rest_cells,viability_tier,is_iei,is_core_essential,fail_evidence,fail_homeostasis,fail_tolerance,safe,reject_reason,window_score,window_rank,loeuf,pli,n_tissues_expressed,n_nonimmune_tissues,max_nonimmune_ntpm,is_ceg,is_neg,lof_intolerant,ubiquitous,systemic_risk
IFRD2,-0.0695488584474786,-0.3380503043124334,0,-0.0965849949481004,0,2,573.0,5.0,-0.6931471805599452,0.0695488584474786,0.0965849949481004,634.0,1.167587476979742,-0.1459477013825023,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.824539843631315,4779,1.07,2.4664e-10,51.0,45.0,109.4,False,False,False,True,True
SRC,0.2682966763722293,0.6230455048234441,0,-0.0896587943588196,0,3,1250.0,0.0,1.3862943611198906,-0.2682966763722293,0.0896587943588196,1041.0,1.9171270718232043,0.2639580262500323,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8249647563410443,4780,0.384,0.99996,50.0,44.0,20.0,False,False,True,True,True
ARHGAP11B,-0.0466723292756502,0.1105210254620375,0,-0.1817401578477423,0,2,508.0,2.0,0.0,0.0466723292756502,0.1817401578477423,471.0,0.8674033149171271,0.1091014371593826,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8261714894297487,4781,,,4.0,,0.9,False,False,False,False,False
MFSD12,-0.1487674457267724,-0.3182886236959415,0,-0.218290582417333,0,1,546.0,2.0,-0.4054651081081645,0.1487674457267724,0.218290582417333,505.0,0.9300184162062616,0.1126175632806954,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.826205262149827,4782,1.806,1.1497e-31,51.0,45.0,49.0,False,False,False,True,True
VKORC1L1,-0.2318342729824386,-0.3196293181124189,0,-0.2989707820988196,0,3,327.0,5.0,-0.4054651081081644,0.2318342729824386,0.2989707820988196,368.0,0.6777163904235728,-0.1704151305589303,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8262417310462797,4783,0.566,0.91649,51.0,45.0,50.7,False,False,True,True,True
BTBD6,0.1192534145918392,0.3443768426146811,0,-0.0208596413654579,0,4,970.0,4.0,0.0,-0.1192534145918392,0.0208596413654579,985.0,1.813996316758748,-0.0221389772692486,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8274268262253354,4784,1.059,1.003e-08,51.0,45.0,154.2,False,False,False,True,True
ZBTB26,-0.0557557170500237,-0.186953666476111,0,-0.3126969204181016,0,10,1659.0,4.0,0.7884573603642704,0.0557557170500237,0.3126969204181016,1830.0,3.3701657458563536,-0.1415297622155415,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8280217628463427,4785,0.586,0.75771,51.0,45.0,10.4,False,False,True,True,True
LCOR,0.2323501217903781,0.8092119104069847,0,0.1619052834659529,0,15,247.0,8.0,0.5753641449035616,-0.2323501217903781,-0.1619052834659529,264.0,0.4861878453038674,-0.0960268877737758,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8280652517548326,4786,0.338,1.0,51.0,45.0,14.6,False,False,True,True,True
RCAN3,-0.0424060599158286,0.3244016748116113,0,-0.2669943459867857,0,15,658.0,8.0,0.5753641449035616,0.0424060599158286,0.2669943459867857,608.0,1.119705340699816,0.1140162602916558,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8288180755093744,4787,1.307,2.3264e-07,50.0,44.0,31.7,False,False,False,True,True
STXBP1,-0.1750958110214775,-0.3922067340244587,0,-0.2445038317801152,0,1,974.0,2.0,-0.4054651081081645,0.1750958110214775,0.2445038317801152,910.0,1.6758747697974217,0.0980552269962835,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8292814862721536,4788,0.099,1.0,51.0,45.0,252.0,False,False,True,True,True
VWA5A,0.076685989724264,0.3390907009447096,0,0.2074419093952818,0,1,892.0,2.0,-0.4054651081081645,-0.076685989724264,-0.2074419093952818,812.0,1.4953959484346224,0.1355639827351286,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8293808272527958,4789,1.064,9.3749e-22,51.0,45.0,40.7,False,False,False,True,True
TRAF5,0.0522674132736431,0.1391029904059128,0,0.0292353717875775,0,3,944.0,6.0,-0.5596157879354227,-0.0522674132736431,-0.0292353717875775,916.0,1.6869244935543275,0.0434392612648972,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8298018211467499,4790,0.938,1.0916e-11,49.0,43.0,21.4,False,False,False,True,True
WDR20,-0.0607704468478031,-0.0802905260367399,0,-0.1339456679607828,0,1,863.0,2.0,-0.4054651081081645,0.0607704468478031,0.1339456679607828,777.0,1.430939226519337,0.151445960771245,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8315368138723949,4791,0.198,1.0,51.0,45.0,27.6,False,False,True,True,True
NUDT2,-0.1520808403674213,-0.2548106301785791,0,-0.2226417221907808,0,1,605.0,2.0,-0.4054651081081645,0.1520808403674213,0.2226417221907808,591.0,1.0883977900552486,0.0337770119844244,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8316205666836191,4792,1.281,0.00032815,51.0,45.0,41.3,False,False,False,True,True
ZNF626,-0.0709607334069341,-0.2162896364578551,0,-0.2066058667461516,0,2,682.0,2.0,0.0,0.0709607334069341,0.2066058667461516,568.0,1.046040515653775,0.2638808095194905,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.832275521698007,4793,0.757,0.60082,51.0,45.0,21.0,False,False,False,True,True
