target_contrast_gene_name,naive_suppression,tolerance_suppression,stim_de_genes,n_cells_target,rest_de_genes,is_core_essential,is_iei,rank,in_top,matched_background
DIS3L,1.2389200871042314,0.6582626398291809,27,226.0,20.0,False,False,73,True,False
ZNF649,1.2365517588865755,0.29336237186858694,1174,798.0,105.0,False,False,74,True,False
NFRKB,1.234477019841193,1.6149956596129977,2520,1321.0,3020.0,False,False,75,True,False
ICAM2,1.228751375902045,0.035596127597976444,27,110.0,3.0,False,False,76,True,False
PPP2R2A,1.2174304022177629,0.9954469168909151,41,316.0,1.0,False,False,77,True,False
RAB21,1.2170887911564092,-0.02661024484074072,128,1059.0,13.0,False,False,78,True,False
TIMM9,1.2114988974745435,0.5650016951097672,11,78.0,79.0,False,False,79,True,False
ICMT,1.2109175957570053,1.196975944015996,64,490.0,,False,False,80,True,False
HMGXB3,1.2107307133885763,1.1347499790980982,83,106.0,9.0,False,False,81,True,False
BTAF1,1.2098117076460158,0.8494111568574516,1296,541.0,1053.0,False,False,82,True,False
ATXN7L3,1.208684751139831,0.199153736885157,503,918.0,545.0,False,False,83,True,False
ENO1,1.2048722997043788,-0.03436196669818391,359,70.0,7.0,False,False,84,True,False
ITK,1.2048531440322185,1.0554898776198849,2566,361.0,2.0,False,True,85,True,False
TOB1,1.2029459436823018,1.204649168070695,4,262.0,1.0,False,False,86,True,False
EXOC1,1.1931343756558723,1.5727134601789396,76,98.0,118.0,False,False,87,True,False
ZNF100,1.1930269271501701,0.5254109347497611,13,1140.0,19.0,False,False,88,True,False
BCL7C,1.1885476541338675,1.1366250637050315,1,347.0,2.0,False,False,89,True,False
GSTP1,1.1874364500439336,0.572757439179919,20,84.0,29.0,False,False,90,True,False
CAST,1.1853043583545628,0.27522901698811114,2,319.0,0.0,False,False,91,True,False
GEMIN7,1.1840736136732222,0.8904115800009637,7,62.0,,False,False,92,True,False
TIAL1,1.1840670883297277,0.04220415030529452,238,645.0,54.0,False,False,93,True,False
ADPRS,1.182227442414061,0.6579030608541269,4,297.0,14.0,False,False,94,True,False
RIOK3,1.1767521666742822,0.3900752186156454,6,783.0,9.0,False,False,95,True,False
CXorf38,1.1694566474008452,0.45230540127562474,9,907.0,1.0,False,False,96,True,False
MAN1A1,1.1688083839829437,0.6203784465925147,2,288.0,11.0,False,False,97,True,False
MED12,1.1685014438449075,1.272377648369891,2046,191.0,2843.0,False,False,98,True,False
FRA10AC1,1.1661512114488373,1.2417351456242074,38,237.0,33.0,False,False,99,True,False
RHOF,1.1628496834846132,0.07406190780100198,290,401.0,476.0,False,False,100,True,False
CD3E,1.162031870360684,0.9240900073550977,1586,91.0,4.0,False,True,101,False,False
PIP5K1A,1.1554632217605916,-0.15143236100457325,7,1564.0,6.0,False,False,102,False,False
FANCM,1.153136808284248,0.21831472142572408,12,397.0,76.0,False,True,103,False,False
PLA2G6,1.1510729655417884,1.4310427402047936,7,575.0,3.0,False,False,104,False,False
RBM33,1.1487031694670247,1.0063990023715041,242,195.0,165.0,False,False,105,False,True
KRR1,1.1480117342445617,-0.18160127845442628,42,48.0,37.0,False,False,106,False,False
MBD2,1.1477559642198145,0.5757599027640077,187,51.0,573.0,False,False,107,False,False
PLPP5,1.1474595866503414,0.8861313065842014,1,536.0,1.0,False,False,108,False,False
ARPC5L,1.1446514477064238,0.4168063281574633,4,581.0,7.0,False,False,109,False,False
CRK,1.1392150459376318,0.9092980137265929,1,124.0,1.0,False,False,110,False,False
CLASRP,1.135862939460625,1.4295832981476542,362,137.0,157.0,False,False,111,False,False
SLC35B1,1.1322329791929915,1.5155523388691274,108,104.0,628.0,False,False,112,False,False
BCL3,1.1281034093534477,0.3073371229457221,63,143.0,231.0,False,False,113,False,False
WBP4,1.1274543025399377,0.5802512538886552,41,199.0,142.0,False,False,114,False,False
SRR,1.124881382597034,0.328720487456027,278,273.0,466.0,False,False,115,False,False
MMAB,1.124539986681729,0.450673527778928,744,401.0,837.0,False,False,116,False,False
PAQR8,1.123459207117343,1.344635389398208,110,30.0,,False,False,117,False,True
PGAP2,1.1227702494472038,0.6371475417013471,230,103.0,4.0,False,False,118,False,False
SMAD4,1.121447797450117,0.4623354180104296,74,540.0,114.0,False,False,119,False,False
SLC16A1,1.1196824394171465,1.2323830960725726,387,314.0,5.0,False,False,120,False,False
ADGRG5,1.1169580596583353,0.6459523799262711,36,440.0,18.0,False,False,121,False,False
GCN1,1.1156529761075036,1.5823233372263066,278,344.0,58.0,False,False,122,False,False
SEPSECS,1.1131847038447023,1.2658927651329275,36,52.0,3.0,False,False,123,False,False
TIPARP,1.1129613017768845,0.47280255693551054,89,219.0,364.0,False,False,124,False,False
PGK1,1.1122947991259664,0.7025451498816273,250,57.0,268.0,False,False,125,False,False
MSH2,1.1105630748171753,1.338230649933296,3,783.0,3.0,False,False,126,False,False
CD79B,1.1104341528715944,0.9245850319520716,6,890.0,2.0,False,True,127,False,False
PURA,1.1089337702051898,1.279861252049346,2,321.0,5.0,False,False,128,False,False
PRKX,1.1067983109572372,0.4061955092371313,2,167.0,3.0,False,False,129,False,True
PTBP1,1.1054454955662114,0.6231731449625866,119,106.0,89.0,False,False,130,False,False
LMLN,1.1053102779541248,-0.2825148952861771,34,269.0,0.0,False,False,131,False,False
MED10,1.1047313201860176,0.49036644815017577,7,32.0,,False,False,132,False,False
PRKCSH,1.104289722785823,0.1104520622531696,2,356.0,14.0,False,False,133,False,False
CHRAC1,1.103874214626667,0.7891276925669509,14,711.0,28.0,False,False,134,False,False
APOBEC3G,1.1029291736431788,0.6911268174196403,2,406.0,104.0,False,False,135,False,False
WAPL,1.1014463199883444,0.7416220714188604,106,79.0,487.0,False,False,136,False,False
QRSL1,1.092656803474663,0.9861641811064028,269,439.0,18.0,False,False,137,False,False
KMT5B,1.0897392993822421,0.6214562927180819,940,711.0,614.0,False,False,138,False,False
CARD6,1.086213224354311,0.2067876657408512,78,568.0,55.0,False,False,139,False,False
PGS1,1.0854758860762947,-0.18514481164527463,121,118.0,714.0,False,False,140,False,False
ZC3H10,1.0849398670373642,0.08457961377393036,360,892.0,381.0,False,False,141,False,False
APOL3,1.0843407376742864,0.8734753796160751,1,758.0,1.0,False,False,142,False,False
ZNF23,1.0780426682351296,1.1072461937088514,1,243.0,0.0,False,False,143,False,False
STAU1,1.0766728176524236,0.8285633855518548,3,524.0,4.0,False,False,144,False,False
ZDBF2,1.073484028117516,0.5567871096084166,2,570.0,1.0,False,False,145,False,False
RASA3,1.0637747651233158,0.5392308002801254,31,849.0,10.0,False,False,146,False,False
GSS,1.0596634091877843,0.12340989408284184,424,104.0,259.0,False,False,147,False,False
ZNF821,1.0586094327286815,0.7792317664431404,4,304.0,0.0,False,False,148,False,False
CHAMP1,1.057766495223027,0.8553720247560088,7,1099.0,4.0,False,False,149,False,False
APBB1IP,1.054198342438378,-0.2699233003357913,27,583.0,31.0,False,False,150,False,False
MPG,1.0532923007199007,0.6727923316178444,166,193.0,,False,False,151,False,True
FLII,1.052977154155751,1.214154896013317,1,385.0,2.0,False,False,152,False,False
GSK3A,1.0516763567160674,1.5233490910547487,3,1101.0,5.0,False,False,153,False,False
SLC25A15,1.0491784732937397,1.3224925502086282,2,370.0,2.0,False,False,154,False,False
TSPAN31,1.0482629255864702,1.0086537492175995,2,355.0,1.0,False,False,155,False,False
TBRG4,1.045190661896566,0.041205780541127765,2,154.0,0.0,False,False,156,False,False
EXD3,1.0443223531309682,0.5885524850908,1,443.0,0.0,False,False,157,False,False
EIF4G2,1.0437564398879926,1.278200359106733,1830,222.0,2014.0,False,False,158,False,False
XBP1,1.0422463262014026,0.7274641138488436,492,1048.0,180.0,False,False,159,False,False
METTL15,1.03953430703246,0.488369065269143,4,737.0,1.0,False,False,160,False,False
FDFT1,1.0347613647903775,1.4521091255220848,29,347.0,7.0,False,False,161,False,False
FAM89B,1.0322251909156719,0.9448505225915187,9,350.0,1642.0,False,False,162,False,False
PHC1,1.0309331775777186,0.8270801863814482,2,458.0,1.0,False,False,163,False,False
PPP1R15B,1.0305722022634032,0.7389316103986939,179,188.0,199.0,False,False,164,False,False
NT5C3B,1.0296127516443807,1.1060801910168019,1,436.0,1.0,False,False,165,False,False
TMEM79,1.028489020105212,0.7865097087064994,58,319.0,251.0,False,False,166,False,False
ATF2,1.0282950750680313,1.41176774246758,1,1101.0,4.0,False,False,167,False,False
REL,1.0271976433869499,1.003896866525866,2,361.0,3.0,False,True,168,False,False
ZAP70,1.0261348158531525,0.8903964198017247,2486,52.0,83.0,False,True,169,False,False
SLC44A2,1.0240993566988705,0.5702853391501033,21,609.0,17.0,False,False,170,False,False
CLIP2,1.0238113896776626,0.5145015180695065,20,298.0,29.0,False,False,171,False,False
CBFA2T2,1.0237669456433611,0.7623908188795053,2,338.0,300.0,False,False,172,False,False
GMEB1,1.0237176640697427,0.5311620965117874,559,1642.0,244.0,False,False,173,False,False
TMEM126B,1.0219412392250722,0.12829820786465979,441,532.0,28.0,False,False,174,False,False
OAS2,1.0211179505386985,0.7338396788914961,2,850.0,2.0,False,True,175,False,False
TBC1D10B,1.0195129390054594,1.3712514957616857,4,210.0,4.0,False,False,176,False,False
NCAPH2,1.0192956303224345,1.0819462311294712,26,167.0,6.0,False,False,177,False,True
MTOR,1.0161485290542835,1.0345989624057539,33,47.0,,False,False,178,False,False
CHORDC1,1.015715918145974,1.0655538393990678,69,46.0,159.0,False,False,179,False,False
NCK1,1.0151160798464147,1.9990370004845062,5,892.0,5.0,False,False,180,False,False
USP19,1.0150021657121981,0.8083821154297487,2,787.0,2.0,False,False,181,False,False
ARL1,1.012787337147771,0.801759129909424,137,375.0,1.0,False,False,182,False,False
NUDT8,1.0126383502483765,0.9828804973187368,1,563.0,1.0,False,False,183,False,False
ECSIT,1.0108991340008193,0.8938049492366597,694,436.0,11.0,False,False,184,False,False
UVSSA,1.0105467471082334,1.0835129862443194,51,42.0,56.0,False,False,185,False,False
SEC23A,1.0074809150709152,1.376296584447615,11,598.0,14.0,False,False,186,False,False
WDR44,1.0066128638163254,-0.09076387261488215,26,155.0,272.0,False,False,187,False,False
CHUK,1.0057219283926453,-0.837201360283544,17,155.0,25.0,False,True,188,False,False
TBL1XR1,1.0034533899665266,0.5185660258654226,427,712.0,135.0,False,False,189,False,False
SNX19,1.003329575230684,0.11763744652093895,2,725.0,1.0,False,False,190,False,False
FASTKD2,1.0012573090083619,0.4910338496012118,1,672.0,1.0,False,False,191,False,False
PPP4R2,1.001256140341472,-0.02350309531168524,3,312.0,1.0,False,False,192,False,False
BZW2,1.0010058622489917,0.9620442638717734,88,605.0,4.0,False,False,193,False,False
ZMYM6,0.9999708749307545,1.1620417091447652,2,505.0,1.0,False,False,194,False,False
ARHGEF6,0.9998012564279347,0.8252689478578825,3,1276.0,2.0,False,False,195,False,False
ACLY,0.997354499563506,1.3635009261605737,2432,282.0,13.0,False,False,196,False,False
SMG7,0.9959516610860147,0.47633163268831513,905,176.0,1668.0,False,False,197,False,False
CCNQ,0.9931043369741326,1.1756593838544322,412,213.0,466.0,False,False,198,False,False
COA1,0.9892271182545128,0.03319396738005994,2,271.0,0.0,False,False,199,False,False
AMBRA1,0.9882273345527203,1.2027591461739462,608,619.0,6.0,False,False,200,False,False
KIAA0753,0.9872969012327539,0.2587618751035408,8,594.0,5.0,False,False,201,False,False
AGMAT,0.9869475078503356,0.3352667141208629,2,373.0,1.0,False,False,202,False,False
CDK2,0.9869414980425126,-0.2868458577932519,347,598.0,1.0,False,False,203,False,False
BOD1,0.9868063365693496,-0.021081083741825477,3,669.0,7.0,False,False,204,False,False
GIMAP4,0.9860312726918288,0.3876750802363342,3,1001.0,2.0,False,False,205,False,False
PDE6D,0.9858240456391045,0.6388324084339843,31,219.0,2.0,False,False,206,False,False
PDHA1,0.9840651618292895,1.5434450058420062,939,192.0,17.0,False,False,207,False,False
TMED10,0.983847765186043,0.6801233684678257,287,377.0,534.0,False,False,208,False,False
PMVK,0.9828701888169196,2.0980483720435763,3528,212.0,210.0,False,True,209,False,False
LYAR,0.9811461694996819,-0.013736324857817407,4,224.0,3.0,False,False,210,False,False
PIM3,0.9784350325475426,0.9254467280861215,8,149.0,3.0,False,False,211,False,False
FHOD1,0.9759025438736022,0.21489771271700625,4,574.0,1.0,False,False,212,False,False
ENDOD1,0.9741014414240455,1.1409829460724366,2,850.0,1.0,False,False,213,False,False
ACTG1,0.9737863521493068,0.24118955471712114,3,153.0,1.0,False,False,214,False,False
LPIN1,0.9736305347459918,1.0390037696013603,3,347.0,1.0,False,False,215,False,False
PANK4,0.9732064262255378,0.012206067078276551,43,73.0,5.0,False,False,216,False,False
CCL4,0.971549247306465,0.6159491209845825,1,803.0,0.0,False,False,217,False,False
GPATCH4,0.9712332311905093,0.6512291485956363,5,651.0,2.0,False,False,218,False,False
DCK,0.9679212683077913,1.6315162767288116,500,99.0,,False,False,219,False,False
PIP4K2B,0.964572970361388,0.9883875618721488,12,169.0,20.0,False,False,220,False,False
SRP54,0.9644161719353327,0.566450858664048,1,624.0,1.0,False,True,221,False,False
SFXN3,0.9639973908148212,0.6698080903183423,1,787.0,2.0,False,False,222,False,False
GRK2,0.9618720674748212,0.058901716708034596,3,338.0,8.0,False,False,223,False,False
BAP1,0.9604298956836381,1.4438031660833959,258,65.0,60.0,False,False,224,False,False
DLAT,0.9593353746131889,1.6863158124206314,1116,372.0,3.0,False,False,225,False,False
PFDN5,0.9591626746693087,0.08973833920149286,7,381.0,218.0,False,False,226,False,False
SPCS2,0.958303378448141,0.10558296304961459,2,145.0,4.0,False,False,227,False,False
IST1,0.9577798955838621,2.0375110892037105,177,366.0,554.0,False,False,228,False,False
C18orf21,0.9550846005038922,0.5155543798536437,1,217.0,4.0,False,False,229,False,False
NDUFB4,0.9535458322324467,-0.006944383534643735,229,379.0,24.0,False,False,230,False,False
SDCBP,0.9529814182533832,0.909374626797296,2,710.0,15.0,False,False,231,False,False
METTL22,0.9527377040923783,0.7601314902737106,2,588.0,1.0,False,False,232,False,False
VOPP1,0.952186535290428,0.816516274152737,1,323.0,1.0,False,False,233,False,False
EIF3H,0.952126185127139,1.006345540377742,187,172.0,878.0,False,False,234,False,False
AKR1B1,0.9512399022392433,1.09375016426077,4,328.0,6.0,False,False,235,False,False
IGF1R,0.95082337750518,0.7694368679854576,3,531.0,1.0,False,False,236,False,False
CASC3,0.9501822835566781,0.8613791350751584,1028,290.0,1239.0,False,False,237,False,False
PRRC2A,0.9501367635182028,1.34877778377766,85,369.0,32.0,False,False,238,False,False
SPIRE1,0.9501130863205535,1.0282526999092576,1,415.0,0.0,False,False,239,False,False
ZNF717,0.9455879060694642,0.6917280664210086,1,211.0,1.0,False,False,240,False,False
FCMR,0.9437789757805631,0.5775917977035478,20,214.0,15.0,False,False,241,False,False
DNASE1L1,0.9427305429233095,0.5755770792229545,4,609.0,1.0,False,False,242,False,False
MUS81,0.9400702579923207,-0.14639041535742564,2,96.0,3.0,False,False,243,False,False
SEL1L,0.9383361928706172,0.9960105566683352,279,92.0,1497.0,False,False,244,False,False
EHBP1,0.9372910727189954,0.8947219406044196,15,254.0,4.0,False,False,245,False,False
DNAJA2,0.9368783986520473,1.6980647050380648,2,471.0,2.0,False,False,246,False,False
COX17,0.9353360764258829,1.152126434727612,98,444.0,1.0,False,False,247,False,False
GPATCH8,0.9330893177638754,1.3582647770950886,221,513.0,58.0,False,False,248,False,False
MPC1,0.9326775518197685,1.6475669437599427,4,706.0,2.0,False,False,249,False,False
ZNF219,0.9325392976489825,1.0864436927787622,57,171.0,2.0,False,False,250,False,False
MAP2K1,0.9322028522484904,0.6824468518941529,12,349.0,5.0,False,False,251,False,False
E2F7,0.9318742822582841,1.0002601366115924,2,404.0,6.0,False,False,252,False,False
MALT1,0.9310979080400685,0.5418428744455799,1412,325.0,3.0,False,True,253,False,False
ZNF426,0.9307529510461199,0.3282218918129573,11,1269.0,4.0,False,False,254,False,False
PCYT1A,0.9300249269274717,1.1170548615620186,2,205.0,1.0,False,False,255,False,True
USO1,0.9279202991895589,0.8261759968480088,171,97.0,571.0,False,False,256,False,False
DR1,0.9273669745524237,0.8703451548176657,595,495.0,103.0,False,False,257,False,False
EIF3J,0.927063629099106,0.2559878459651462,253,36.0,430.0,False,False,258,False,False
EXT2,0.9264728615743775,1.21799058454569,3,357.0,398.0,False,False,259,False,False
ETV3,0.925280540716941,0.9731717435992349,1,305.0,5.0,False,False,260,False,False
CCNE1,0.9252230546697453,0.24650580961528915,17,206.0,1.0,False,False,261,False,False
TXNRD1,0.9249989951180275,0.4641449519071098,43,523.0,,False,False,262,False,False
MAPK9,0.923775152526588,1.088158976665414,1,376.0,2.0,False,False,263,False,False
CBY1,0.9232184221235942,-0.06425100048150442,2,736.0,2.0,False,False,264,False,False
SFMBT2,0.9229758600352111,0.6260333096832258,1,890.0,1.0,False,False,265,False,False
PIGC,0.9202771595626087,1.2527608283635439,4,1109.0,5.0,False,False,266,False,False
ZNF26,0.9196629876124486,0.9342096855877458,1,457.0,1.0,False,False,267,False,False
USP42,0.9190980026169879,0.7698079218293861,2,691.0,2.0,False,False,268,False,False
PPP5C,0.9183140366798689,1.0383615627077976,1,239.0,3.0,False,False,269,False,False
CYTH4,0.916131848091174,0.5290242439287053,2,173.0,17.0,False,False,270,False,False
FAM98A,0.9145302400018305,0.784699876893487,9,1002.0,3.0,False,False,271,False,False
AP1M1,0.913811734297048,1.6231419478501026,21,204.0,29.0,False,False,272,False,True
DOT1L,0.9134566838179521,1.2823430824507809,436,282.0,123.0,False,False,273,False,False
GDE1,0.912859060480465,0.7026851426681199,2,432.0,3.0,False,False,274,False,False
DAP,0.9099546581225025,1.2060937762680046,266,237.0,6.0,False,False,275,False,False
TNFRSF4,0.9094967291049785,0.761875063510814,3,632.0,16.0,False,True,276,False,False
VAMP1,0.9089054441169688,0.05246480863084973,3,560.0,2.0,False,False,277,False,False
MEN1,0.9086333345921018,0.2642316689323131,2157,128.0,604.0,False,False,278,False,False
FN3K,0.9081442392303641,1.1937219503423695,128,828.0,11.0,False,False,279,False,False
BCR,0.9058732994137322,0.8936491619452044,1,506.0,4.0,False,False,280,False,False
PQBP1,0.9044498135047154,1.752345569200279,21,262.0,56.0,False,False,281,False,False
ZNF74,0.901867585198799,-0.3790920587637259,6,1058.0,3.0,False,False,282,False,False
SAPCD2,0.9009615923498864,0.4763418566676613,4,371.0,4.0,False,False,283,False,False
AEBP2,0.8986975658747751,1.1689092650841706,510,575.0,12.0,False,False,284,False,False
TWNK,0.8974883959506816,0.18882759833585253,802,573.0,232.0,False,False,285,False,False
C15orf48,0.8966656320875634,0.06728891412051555,5,496.0,3.0,False,False,286,False,False
SEMA4B,0.8965856549544711,0.7574339759709563,6,478.0,1.0,False,False,287,False,False
HNRNPDL,0.8958491951905165,1.0422679948662374,85,62.0,2.0,False,False,288,False,False
MARK3,0.8953064379954698,0.31788704680074553,4,584.0,6.0,False,False,289,False,False
PRSS23,0.8952049035820291,0.586517820470752,1,207.0,1.0,False,False,290,False,False
FBXL4,0.8931021496765946,-0.16553885106446983,2,458.0,1.0,False,False,291,False,False
SRSF5,0.8923091408719225,0.20289280442246505,27,1342.0,23.0,False,False,292,False,False
EIF5A2,0.8916954293980871,0.7150047943606554,2,511.0,3.0,False,False,293,False,False
ANKH,0.8913174007593354,0.12917610363932427,7,293.0,2.0,False,False,294,False,False
PTTG1IP,0.8900543406676256,1.3321127180146297,5,644.0,3.0,False,False,295,False,False
ZFX,0.8892035144923004,0.9341567337059222,12,144.0,35.0,False,False,296,False,False
SLC39A14,0.8887948253121093,0.5417751094505054,1,692.0,1.0,False,False,297,False,False
COMMD7,0.8886899147873513,0.5252381222997864,113,610.0,2.0,False,False,298,False,False
SSR3,0.8876828852373593,0.03809249834141599,31,1064.0,66.0,False,False,299,False,False
PPP1R14B,0.8874583660543934,0.784682286734357,71,137.0,0.0,False,False,300,False,True
GMPR,0.8865558941160145,0.23458712669571932,1,766.0,0.0,False,False,301,False,False
HPS6,0.8855942642086697,0.06279963508347208,4,392.0,3.0,False,False,302,False,False
RBM23,0.883755797688573,0.7257570533139124,1,590.0,15.0,False,False,303,False,False
EIF4E2,0.8836737448076851,-0.223319663070082,35,509.0,1.0,False,False,304,False,False
KIZ,0.882440581958003,0.4330502116590193,5,537.0,2.0,True,False,305,False,False
DECR1,0.8821820463763488,0.1476629427123023,1,467.0,17.0,False,False,306,False,False
IFNGR2,0.8815478519905707,-0.0065432053399026024,2,603.0,4.0,False,True,307,False,False
SH3BP1,0.8798114164275608,0.8790012351545916,10,177.0,7.0,False,False,308,False,False
PITHD1,0.8787342091708381,-0.3712950933771052,1,330.0,1.0,False,False,309,False,False
P3H1,0.878497884737742,0.5112438280625564,6,495.0,1.0,False,False,310,False,False
SLC25A51,0.8774574422024364,0.006660019904691832,103,626.0,193.0,False,False,311,False,False
NAA80,0.8772838119418497,0.23260439239473035,7,334.0,9.0,False,False,312,False,False
CERS4,0.876760899860645,1.2128940631256429,5,247.0,3.0,False,False,313,False,False
ZNF710,0.8766792867964451,0.6351844018730401,78,69.0,394.0,False,False,314,False,False
PAIP2,0.8755294714773594,0.8688613189117438,8,521.0,2.0,False,False,315,False,False
SNX33,0.8752577701412358,1.1882783137185682,6,628.0,2.0,False,False,316,False,False
