gene_name,naive_suppression,abs_score,is_suppressor,z_l2,z_l2_raw,in_top,in_induction_top,stim_downstream,stim_de_genes,rest_downstream,rest_de_genes,has_rest_row,rest_qc_pass,homeostasis_cost,tolerance_suppression,is_iei,n_cells_target
CD247,1.77257769245243,1.77257769245243,True,153.0120319985587,154.45393070212478,True,False,827.0,828.0,4.0,5.0,True,True,-5.109575241951159,2.2913182790125495,1.0,266.0
CD27,0.007880547000101504,0.007880547000101504,True,101.78639765598828,102.92772739767766,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,-0.12665919343977952,1.0,856.0
CD274,0.12324628785932125,0.12324628785932125,True,123.24129769042467,123.68746955825677,False,False,101.0,102.0,23.0,24.0,True,True,-1.446918982936325,0.3051606738862596,1.0,1514.0
CD276,-0.6102422178121638,0.6102422178121638,False,100.60118799058364,101.1922589326137,False,False,1.0,2.0,2.0,2.0,True,False,0.4054651081081645,-0.564270628577263,0.0,519.0
CD28,1.2647382355677592,1.2647382355677592,True,177.11714119180328,178.55767348601236,True,False,1797.0,1798.0,4.0,5.0,True,True,-5.884992302597465,0.7255215378576593,1.0,514.0
CD2AP,-0.4786721802593992,0.4786721802593992,False,97.55693702903538,100.53590465414814,False,False,2.0,3.0,0.0,1.0,True,True,-1.0986122886681098,-0.1346891275026948,0.0,1942.0
CD2BP2,0.6363933600813674,0.6363933600813674,True,118.74759434137933,119.44329307182174,False,False,71.0,72.0,80.0,81.0,True,True,0.11778303565638382,0.5142240061964073,0.0,166.0
CD300A,0.1784826918248895,0.1784826918248895,True,94.63799092183616,95.36630843740384,False,False,1.0,2.0,1.0,2.0,True,True,-0.0,0.7974735804332804,0.0,512.0
CD320,0.011274330365536035,0.011274330365536035,True,95.09159633045138,96.86140159970192,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,-0.037004526922863296,0.0,898.0
CD37,-0.16937639179081976,0.16937639179081976,False,107.91511737786892,109.96726525786116,False,False,4.0,5.0,7.0,8.0,True,True,0.47000362924573547,-0.22323282412467402,0.0,550.0
CD38,0.05869562980167353,0.05869562980167353,True,99.70921638610714,100.71513016114147,False,False,9.0,10.0,8.0,9.0,True,True,-0.10536051565782634,0.12516042084229184,0.0,903.0
CD3E,1.162031870360684,1.162031870360684,True,198.4207859590532,199.3505720938765,False,False,1585.0,1586.0,3.0,4.0,True,True,-5.982676041074902,0.9240900073550977,1.0,91.0
CD3G,1.7828024295326828,1.7828024295326828,True,183.8950060995726,185.6207248101088,True,False,1373.0,1374.0,4.0,5.0,True,False,-5.616043560348194,2.268228998091474,1.0,126.0
CD4,0.15147637993148344,0.15147637993148344,True,103.1792224560062,108.39458575040824,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.09535871164421213,0.0,674.0
CD40LG,0.5194730602013837,0.5194730602013837,True,112.1212508088037,113.5297234450304,False,False,28.0,29.0,4.0,5.0,True,True,-1.7578579175523739,0.7737933797117509,1.0,221.0
CD44,0.18186275110488684,0.18186275110488684,True,104.27227049516296,106.12269469007896,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,-0.06551292653481816,0.0,922.0
CD46,0.6674354290488436,0.6674354290488436,True,95.1623383359285,97.10413276966725,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.6463858844461237,1.0,567.0
CD47,0.2545358629069691,0.2545358629069691,True,94.30451714393564,101.15455899314406,False,False,2.0,3.0,1.0,2.0,True,True,-0.4054651081081645,-0.07726500624180985,0.0,1320.0
CD48,0.042521655447109695,0.042521655447109695,True,107.5056687486017,112.64456801216012,False,False,0.0,1.0,5.0,6.0,True,True,1.791759469228055,-0.2543617459040242,0.0,740.0
CD5,-0.9209069372762937,0.9209069372762937,False,166.30780993059378,169.09185187720468,False,True,1200.0,1201.0,7.0,8.0,True,True,-5.011468280400148,-0.4498705360610536,0.0,1112.0
CD52,0.34837318019161895,0.34837318019161895,True,99.90761528557128,104.27977599787356,False,False,1.0,2.0,2.0,3.0,True,True,0.4054651081081645,-0.17822109795528246,0.0,1354.0
CD53,0.07982835411940427,0.07982835411940427,True,104.27976631791095,107.88184102590849,False,False,0.0,1.0,1.0,2.0,True,True,0.6931471805599453,-0.02613884898633276,0.0,480.0
CD55,0.25118962342410994,0.25118962342410994,True,100.7013484822008,104.1723912031023,False,False,1.0,2.0,1.0,2.0,True,True,-0.0,0.06952834294296452,1.0,1287.0
CD58,0.530291589079595,0.530291589079595,True,96.35248022293528,98.06825842410446,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.5615276522925314,0.0,886.0
CD6,-0.3362161106210302,0.3362161106210302,False,111.00475376553096,112.65202189302836,False,False,0.0,1.0,4.0,5.0,True,True,1.6094379124341003,-0.7219993325315021,0.0,711.0
CD63,0.11678167321421526,0.11678167321421526,True,106.02184917269057,106.5604248996838,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.03657669287326574,0.0,849.0
CD68,0.11202931420166369,0.11202931420166369,True,101.34811006453072,101.88271254096011,False,False,1.0,2.0,0.0,0.0,True,False,-0.6931471805599453,-0.11521400874245494,0.0,394.0
CD69,0.2719396909458399,0.2719396909458399,True,107.33723322824908,108.3623387646189,False,False,4.0,5.0,2.0,3.0,True,True,-0.5108256237659905,-0.1200451928185048,0.0,1405.0
CD7,-0.5866696123936356,0.5866696123936356,False,96.85577367210848,99.655087127001,False,False,4.0,5.0,7.0,8.0,True,True,0.47000362924573547,0.07368142307975638,0.0,641.0
CD70,0.18624847302429737,0.18624847302429737,True,102.45844847596638,103.73155681246874,False,False,8.0,9.0,6.0,7.0,True,True,-0.25131442828090633,0.09007334379855327,1.0,2160.0
CD72,0.5709640344172229,0.5709640344172229,True,92.23173720926437,92.69303874172762,False,False,0.0,1.0,0.0,0.0,True,False,-0.0,0.6388690377085628,0.0,865.0
CD74,-0.03660022645188681,0.03660022645188681,False,91.98031497480297,93.40846090577844,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,-0.27192267638562073,0.0,343.0
CD79B,1.1104341528715944,1.1104341528715944,True,106.39581698847262,108.1423910763002,False,False,5.0,6.0,1.0,2.0,True,True,-1.0986122886681096,0.9245850319520716,1.0,890.0
CD80,0.7664090977461554,0.7664090977461554,True,98.72106763323175,100.28399349644206,False,False,2.0,3.0,0.0,1.0,True,True,-1.0986122886681098,0.667710762655244,0.0,614.0
CD81,0.14713755926353447,0.14713755926353447,True,92.87051995658824,94.5999259693224,False,False,1.0,2.0,1.0,2.0,True,True,-0.0,-0.28809875981538047,1.0,707.0
CD83,0.2568372183397252,0.2568372183397252,True,98.0126720037285,99.21310779408844,False,False,0.0,1.0,4.0,5.0,True,True,1.6094379124341003,-0.8195425939220063,0.0,826.0
CD84,0.139459824086618,0.139459824086618,True,91.08189616595816,91.45106444853973,False,False,0.0,1.0,1.0,2.0,True,True,0.6931471805599453,0.18164810774317633,0.0,394.0
CD96,0.24054221517184995,0.24054221517184995,True,101.27651360904616,103.08575348064856,False,False,2.0,3.0,1.0,2.0,True,True,-0.4054651081081645,0.5543799144861091,0.0,1088.0
CD99,0.3532512379661878,0.3532512379661878,True,110.54516719837562,113.23780676088096,False,False,10.0,11.0,0.0,1.0,True,True,-2.3978952727983707,0.6721630775102939,0.0,670.0
CD99L2,0.35735115276220286,0.35735115276220286,True,122.31129835454712,122.85507250611514,False,False,112.0,113.0,,,False,,,-0.0956871902279523,0.0,470.0
CDADC1,0.1972698031977693,0.1972698031977693,True,109.52950048561492,110.16842481514006,False,False,3.0,4.0,172.0,173.0,True,True,3.7669972333778885,-0.019796669798443862,0.0,450.0
CDC14A,0.05018885139220886,0.05018885139220886,True,117.2379579582812,117.93204522298728,False,False,0.0,1.0,2.0,3.0,True,True,1.0986122886681098,-0.7965858571750177,0.0,546.0
CDC25A,0.4040104392147034,0.4040104392147034,True,101.61895735881303,106.39000277984498,False,False,5.0,6.0,7.0,8.0,True,True,0.2876820724517808,-0.40680375863133506,0.0,3784.0
CDC25C,0.7169593690273219,0.7169593690273219,True,117.79709564714295,119.00131332064588,False,False,0.0,1.0,1.0,2.0,True,True,0.6931471805599453,0.8609433268664239,0.0,709.0
CDC34,0.23411910073228495,0.23411910073228495,True,100.2548995005252,102.04456814527956,False,False,4.0,5.0,39.0,40.0,True,True,2.079441541679836,0.32138901045696705,0.0,625.0
CDC37L1,-0.12476751170725525,0.12476751170725525,False,107.95665220385628,108.92457366781775,False,False,9.0,10.0,2.0,3.0,True,True,-1.2039728043259361,0.06713625504025701,0.0,735.0
CDC42BPA,0.039452273678808984,0.039452273678808984,True,92.10030154606687,92.49810977976225,False,False,1.0,2.0,0.0,0.0,True,False,-0.6931471805599453,-0.46574572603101394,0.0,636.0
CDC42EP3,0.18161315458638702,0.18161315458638702,True,96.18121811312402,96.8292251276103,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.26262679439324743,0.0,233.0
CDC42SE2,-0.16570309087623297,0.16570309087623297,False,108.5247294878382,108.8388992718894,False,False,4.0,5.0,4.0,5.0,True,True,-0.0,-0.8686257801910784,0.0,622.0
CDCA3,0.7677227986314559,0.7677227986314559,True,120.9438024587323,121.95136686487297,False,False,69.0,70.0,126.0,127.0,True,True,0.5956918444092318,1.4751783839917603,0.0,251.0
CDCA4,-0.04043151556603029,0.04043151556603029,False,90.0693829624116,90.61180072300792,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,0.41513662180096716,0.0,522.0
CDCA7,-0.1371220708969366,0.1371220708969366,False,109.80121650002924,111.604298845058,False,False,0.0,1.0,3.0,4.0,True,True,1.3862943611198906,-0.03015882634833147,1.0,662.0
CDCA7L,0.04736446224332845,0.04736446224332845,True,103.158469606296,105.60016871746396,False,False,8.0,9.0,4.0,5.0,True,True,-0.5877866649021193,0.21883492812802796,0.0,717.0
CDIP1,0.05302596213680729,0.05302596213680729,True,95.4629164305276,96.49210010521288,False,False,2.0,3.0,0.0,1.0,True,True,-1.0986122886681098,-0.029948080712408422,0.0,585.0
CDIPT,-0.1665301174454215,0.1665301174454215,False,97.8611141604637,98.3237233577267,False,False,0.0,1.0,23.0,24.0,True,True,3.1780538303479458,-0.2193111709322353,0.0,282.0
CDK13,-0.5093382984589043,0.5093382984589043,False,162.2237330904727,163.07309394038603,False,False,889.0,890.0,557.0,558.0,True,True,-0.46686250034487475,-0.5208989718075909,0.0,752.0
CDK16,-0.11124274908709914,0.11124274908709914,False,93.64541701542556,95.16778337402008,False,False,0.0,1.0,1.0,2.0,True,True,0.6931471805599453,-1.2006672025086862,0.0,515.0
CDK17,0.06651626146536051,0.06651626146536051,True,94.83385591958758,95.4589376930426,False,False,2.0,3.0,0.0,1.0,True,True,-1.0986122886681098,-0.14675639427995077,0.0,617.0
CDK19,0.199105060695128,0.199105060695128,True,114.89967217635972,115.56871617847986,False,False,7.0,8.0,5.0,6.0,True,True,-0.2876820724517808,-0.59841052092482,0.0,531.0
CDK2,0.9869414980425126,0.9869414980425126,True,135.91277569834088,138.08456921327314,False,False,346.0,347.0,0.0,1.0,True,True,-5.849324779946859,-0.2868458577932519,0.0,598.0
CDK2AP1,0.177023273568968,0.177023273568968,True,110.3816528117614,112.17478208823545,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.11835790386787176,0.0,495.0
CDK5R1,0.11180807542289281,0.11180807542289281,True,106.44042354108484,106.95944782396823,False,False,6.0,7.0,0.0,0.0,True,False,-1.9459101490553132,1.039337256683931,0.0,504.0
CDK5RAP1,-0.3240861217647866,0.3240861217647866,False,108.6809100071201,110.28038823655795,False,False,0.0,1.0,1.0,2.0,True,True,0.6931471805599453,0.41271485041049183,0.0,1086.0
CDK5RAP2,0.26632292328484486,0.26632292328484486,True,92.3556427352052,95.40254397820198,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,-0.14547143699722342,0.0,807.0
CDK8,0.6078769461629,0.6078769461629,True,118.068130255173,119.58534533294667,False,False,0.0,1.0,4.0,5.0,True,True,1.6094379124341003,0.7575705152222345,0.0,677.0
CDK9,0.1623764959164258,0.1623764959164258,True,103.00607365632176,103.53510067465407,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.43117067910974005,0.0,257.0
CDKAL1,0.4574042765589912,0.4574042765589912,True,100.28463881257956,104.7821343839854,False,False,7.0,8.0,9.0,10.0,True,True,0.22314355131421015,0.0887316305453017,0.0,1140.0
CDKN1A,-0.17789573866344804,0.17789573866344804,False,99.2678162079643,100.32892399473792,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,0.15668590537123184,0.0,336.0
CDKN2A,0.0743677048371643,0.0743677048371643,True,105.26303109100974,105.8506650254102,False,False,0.0,1.0,13.0,14.0,True,True,2.6390573296152584,-0.19355912525136335,0.0,573.0
CDKN2AIP,0.3038647035865558,0.3038647035865558,True,116.66548333395744,117.16448864730202,False,False,119.0,120.0,112.0,113.0,True,True,-0.060103924069704995,0.4015036083659347,0.0,483.0
CDKN2AIPNL,0.5494725583666972,0.5494725583666972,True,105.76884301899136,107.6444378858569,False,False,3.0,4.0,0.0,1.0,True,True,-1.3862943611198906,-0.5736823739687491,0.0,786.0
CDKN2C,0.4461002312477402,0.4461002312477402,True,100.41569329922096,101.11435060198464,False,False,0.0,1.0,2.0,3.0,True,True,1.0986122886681098,0.2917954923700379,0.0,554.0
CDKN3,0.34009058571611167,0.34009058571611167,True,95.3730680947858,97.29016676345503,False,False,1.0,2.0,3.0,4.0,True,True,0.6931471805599453,-0.5101456017015366,0.0,650.0
CDPF1,-0.03577832233014889,0.03577832233014889,False,100.1105929182552,100.5537786706918,False,False,1.0,2.0,6.0,7.0,True,True,1.252762968495368,-0.3234844444899092,0.0,302.0
CDR2,0.08754814502154054,0.08754814502154054,True,91.68467607700032,94.49777714309612,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,-0.10906547825704388,0.0,780.0
CDV3,-0.36264723551188244,0.36264723551188244,False,106.20886448719072,107.74425608690032,False,False,0.0,1.0,3.0,4.0,True,True,1.3862943611198906,-0.030210125454368172,0.0,508.0
CDYL,-0.029342442233081786,0.029342442233081786,False,117.44230545101924,117.7990903171644,False,False,64.0,65.0,27.0,28.0,True,True,-0.842182759720433,-0.43900962231624835,0.0,146.0
CDYL2,0.18495456644990707,0.18495456644990707,True,97.81643747800126,98.794320992758,False,False,0.0,1.0,1.0,2.0,True,True,0.6931471805599453,-0.23394010765516418,0.0,889.0
CEACAM21,0.40239834494203347,0.40239834494203347,True,103.55399157824075,103.9905045578756,False,False,3.0,4.0,0.0,1.0,True,True,-1.3862943611198906,0.2918521631081211,0.0,535.0
CEBPB,-0.4158051034798249,0.4158051034798249,False,112.88989326487244,113.92294898368728,False,False,12.0,13.0,6.0,7.0,True,True,-0.6190392084062235,0.4382994098361427,0.0,923.0
CELF1,0.48395533036163896,0.48395533036163896,True,105.71820371043502,114.942335132527,False,False,11.0,12.0,0.0,1.0,True,True,-2.4849066497880004,0.5264501883499748,0.0,2241.0
CELF2,0.7404691465853701,0.7404691465853701,True,113.07637799242391,117.99888427671902,False,False,19.0,20.0,27.0,28.0,True,True,0.33647223662121295,0.12445687859734855,0.0,1100.0
CEMIP2,0.33659257784234686,0.33659257784234686,True,95.40118944177512,96.75116878778935,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,0.2032336469086381,0.0,563.0
CENPB,-0.04610269863359727,0.04610269863359727,False,106.25179965979484,107.44168992207776,False,False,3.0,4.0,0.0,1.0,True,True,-1.3862943611198906,0.5833644884743812,0.0,284.0
CENPE,0.8738476085902467,0.8738476085902467,True,113.91465460126112,114.5491986899746,False,False,70.0,71.0,,,False,,,0.5415458859782617,0.0,53.0
CENPF,0.4942755728063409,0.4942755728063409,True,104.34057974797236,107.85849447737785,False,False,2.0,3.0,0.0,1.0,True,True,-1.0986122886681098,0.03100638094263159,0.0,628.0
CENPJ,0.6519683287997387,0.6519683287997387,True,108.79377514219055,109.19277011436444,False,False,27.0,28.0,55.0,55.0,True,False,0.6931471805599458,0.7439579761766661,0.0,41.0
CENPQ,0.014064864636851228,0.014064864636851228,True,113.54366402696762,113.9688722404364,False,False,17.0,18.0,2.0,2.0,True,False,-1.7917594692280547,0.25692672686195694,0.0,55.0
CENPS,0.15356621080921337,0.15356621080921337,True,93.53963504515843,94.17516424208809,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,-0.0685899626400145,0.0,307.0
CENPU,0.2041644967215296,0.2041644967215296,True,102.21256011612964,103.01191715692912,False,False,7.0,8.0,4.0,5.0,True,True,-0.47000362924573547,0.5496726024023589,0.0,117.0
CENPV,0.6058470438756651,0.6058470438756651,True,96.67159437951706,97.75098589624886,False,False,5.0,6.0,20.0,21.0,True,True,1.252762968495368,-0.14970222925184792,0.0,605.0
CEP120,0.09603623780469088,0.09603623780469088,True,106.06163941799151,106.98564005984008,False,False,3.0,4.0,7.0,8.0,True,True,0.6931471805599452,-0.4985463315086737,0.0,204.0
CEP128,0.24747701674299682,0.24747701674299682,True,90.58606255641917,93.17093340172669,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.030110371852816644,0.0,1318.0
CEP131,0.24877163455321738,0.24877163455321738,True,103.50216287387028,104.00297970819815,False,False,1.0,2.0,1.0,2.0,True,True,-0.0,0.6689624797385164,0.0,806.0
CEP135,-0.6581507169913982,0.6581507169913982,False,120.4900613842482,121.23821473516782,False,False,124.0,125.0,1.0,2.0,True,True,-4.135166556742356,-0.25699027683561293,0.0,306.0
CEP162,-0.08696427076229366,0.08696427076229366,False,95.07467171597362,95.55608071850736,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.3622492661850473,0.0,727.0
CEP164,-0.12539008433132479,0.12539008433132479,False,109.94138875821471,110.43165605578312,False,False,0.0,1.0,2.0,3.0,True,True,1.0986122886681098,-0.6608672130241301,0.0,362.0
CEP250,0.15985226596443097,0.15985226596443097,True,96.56710082048724,97.41120097675577,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.15596581052903494,0.0,509.0
CEP295,-0.09620599606258422,0.09620599606258422,False,103.61817773786532,103.98833979289644,False,False,0.0,1.0,17.0,17.0,True,False,2.8903717578961645,0.21686594992565367,0.0,87.0
CEP350,0.25792857368810285,0.25792857368810285,True,116.64989569533031,117.60126449264108,False,False,45.0,46.0,38.0,39.0,True,True,-0.16507975035944877,1.7500284585241381,0.0,192.0
CEP41,0.0034684698231702837,0.0034684698231702837,True,97.7796542970974,98.48295006127256,False,False,1.0,2.0,6.0,7.0,True,True,1.252762968495368,0.6990580835670336,0.0,652.0
CEP55,-0.11103332312756599,0.11103332312756599,False,113.11751442736583,114.20161419729054,False,False,42.0,43.0,1.0,2.0,True,True,-3.068052935133617,0.09689149498051693,0.0,96.0
CEP57,0.08062903088689008,0.08062903088689008,True,114.5339906064822,115.06152631606868,False,False,0.0,1.0,386.0,386.0,True,False,5.958424693029782,0.18520877890635104,0.0,140.0
CEP57L1,0.11771352995786126,0.11771352995786126,True,96.79327290820528,97.5386600503372,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.005847549516603391,0.0,443.0
CEP68,0.39976580468190276,0.39976580468190276,True,94.96707778761832,95.74936659843468,False,False,0.0,1.0,9.0,10.0,True,True,2.302585092994046,0.1683603911521502,0.0,1143.0
CEP70,-0.06079374602553943,0.06079374602553943,False,94.44215198739631,94.93748438162989,False,False,0.0,1.0,1.0,2.0,True,True,0.6931471805599453,-0.1711998571901701,0.0,586.0
CEP72,0.5996318501366666,0.5996318501366666,True,99.8410512248046,100.43205380866496,False,False,1.0,2.0,1.0,2.0,True,True,-0.0,1.3556525076519486,0.0,248.0
CEP78,-0.035376817994403106,0.035376817994403106,False,103.9148078143849,105.18383773457198,False,False,5.0,6.0,1.0,2.0,True,True,-1.0986122886681096,-0.10543576322082422,0.0,616.0
CEP83,0.34515560054964733,0.34515560054964733,True,112.79843106701996,113.79551581443415,False,False,31.0,32.0,17.0,18.0,True,True,-0.575364144903562,0.6313994507780063,0.0,337.0
CEP85L,0.2967563739253116,0.2967563739253116,True,91.99864759810788,92.83606350439048,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,0.039184302531488635,0.0,1028.0
CEP89,0.06284287955481865,0.06284287955481865,True,122.83226095008678,123.18875023881552,False,False,175.0,176.0,30.0,31.0,True,False,-1.736496790553005,-0.10523904229543045,0.0,270.0
CEP97,0.0063585135412173345,0.0063585135412173345,True,102.65445547955636,103.19910489935292,False,False,1.0,2.0,1.0,2.0,True,True,-0.0,-0.02235014360413819,0.0,383.0
CERK,0.4886068511154048,0.4886068511154048,True,100.27488491437192,101.35279967122328,False,False,0.0,1.0,1.0,2.0,True,True,0.6931471805599453,0.4875525134765461,0.0,467.0
CERS2,-0.6605032721602447,0.6605032721602447,False,116.73543140919244,121.97884534955196,False,False,21.0,22.0,3.0,4.0,True,True,-1.7047480922384255,0.019583386254373652,0.0,780.0
CERS4,0.876760899860645,0.876760899860645,True,97.92359826578216,98.52692124339386,False,False,4.0,5.0,2.0,3.0,True,True,-0.5108256237659905,1.2128940631256429,0.0,247.0
CERS5,0.3452105896292279,0.3452105896292279,True,104.35631326400818,105.0634201948618,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.8363715646302601,0.0,166.0
CERS6,-0.0716107070706169,0.0716107070706169,False,100.07125142945569,100.8126199456017,False,False,2.0,3.0,2.0,3.0,True,True,-0.0,0.5446631618720251,0.0,368.0
CES4A,-0.20432752227181875,0.20432752227181875,False,91.6878382291459,92.08661429935071,False,False,1.0,2.0,1.0,2.0,True,True,-0.0,0.2478748706544682,0.0,839.0
CETN3,0.14563254675702964,0.14563254675702964,True,93.37725318313464,97.24020438913028,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.24959972827142687,0.0,807.0
CFAP20,2.430327649566531,2.430327649566531,True,166.7864118314204,167.98612106480402,True,False,1292.0,1293.0,454.0,455.0,True,True,-1.0444229598209072,1.4188453867022206,0.0,177.0
CFAP36,-0.030120494800093302,0.030120494800093302,False,105.82773502115782,107.1098939279827,False,False,0.0,1.0,2.0,3.0,True,True,1.0986122886681098,-0.055001761215124095,0.0,889.0
CFAP97,0.7834338246125243,0.7834338246125243,True,100.34487064360005,101.67526602989452,False,False,2.0,3.0,600.0,601.0,True,True,5.2999826458670976,0.6595776740445563,0.0,454.0
CFL2,0.3772694029921649,0.3772694029921649,True,96.71934421377463,97.4214750459369,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,0.0764860940024488,0.0,870.0
CGAS,-0.04548788496386268,0.04548788496386268,False,96.98319054078522,100.73391328542569,False,False,2.0,3.0,0.0,1.0,True,True,-1.0986122886681098,-0.06413090050682257,0.0,956.0
CGREF1,-0.009285816487314469,0.009285816487314469,False,98.10753658184407,98.56532313048343,False,False,0.0,1.0,2.0,2.0,True,False,1.0986122886681098,-1.1406503868674749,0.0,685.0
CGRRF1,-0.28169455412509337,0.28169455412509337,False,99.38901298454336,100.2612462584258,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.7757702432502249,0.0,483.0
CHAC1,-0.2171032422511565,0.2171032422511565,False,93.1998416508155,94.25946189863544,False,False,0.0,1.0,0.0,0.0,True,False,-0.0,-0.4119021981985995,0.0,851.0
CHAC2,0.05355973905886819,0.05355973905886819,True,101.1187258376212,101.72648456745743,False,False,1.0,2.0,0.0,1.0,True,True,-0.6931471805599453,0.5652385417870192,0.0,320.0
CHAMP1,1.057766495223027,1.057766495223027,True,105.91725792514718,108.20803557687604,False,False,6.0,7.0,3.0,4.0,True,True,-0.5596157879354227,0.8553720247560088,0.0,1099.0
CHCHD1,-0.1371867566652981,0.1371867566652981,False,104.23376429246974,106.17066732661957,False,False,0.0,1.0,0.0,1.0,True,True,-0.0,0.6292018460254406,0.0,560.0
